,temp,qualifier_code,subphrase_pt3,pop,num,dow,expire_time_gmt,phrase_12char,wdir_cardinal,fcst_valid_local,fcst_valid,icon_extd,phrase_22char,class,subphrase_pt2,wdir,subphrase_pt1,wspd,precip_type,clds,phrase_32char,daypart_name,qualifier,rh,icon_code
2016-12-02 19:00:00,7,,,24,1,Friday,1480705857,Foggy,NNE,2016-12-02T19:00:00+0000,1480705200,2000,Foggy,fod_long_range_intraday,,27,Foggy,8,rain,98,Foggy,Evening,Patchy drizzle possible.,88,20
2016-12-03 01:00:00,5,,,24,2,Saturday,1480705857,Cloudy,NE,2016-12-03T01:00:00+0000,1480726800,2600,Cloudy,fod_long_range_intraday,,51,Cloudy,10,rain,91,Cloudy,Overnight,Patchy drizzle possible.,91,26
2016-12-03 07:00:00,6,,,7,3,Saturday,1480705857,Cloudy,ENE,2016-12-03T07:00:00+0000,1480748400,2600,Cloudy,fod_long_range_intraday,,78,Cloudy,13,rain,74,Cloudy,Morning,Patchy drizzle possible.,82,26
2016-12-03 13:00:00,7,,,6,4,Saturday,1480705857,P Cloudy,E,2016-12-03T13:00:00+0000,1480770000,3000,Partly Cloudy,fod_long_range_intraday,Cloudy,88,Partly,14,rain,24,Partly Cloudy,Afternoon,Patchy drizzle possible.,71,30
2016-12-03 19:00:00,4,,,7,5,Saturday,1480705857,P Cloudy,ENE,2016-12-03T19:00:00+0000,1480791600,2900,Partly Cloudy,fod_long_range_intraday,Cloudy,78,Partly,11,precip,26,Partly Cloudy,Evening,Patchy drizzle possible.,81,29
2016-12-04 01:00:00,3,,,6,6,Sunday,1480705857,Clear,E,2016-12-04T01:00:00+0000,1480813200,3100,Clear,fod_long_range_intraday,,84,Clear,11,precip,3,Clear,Overnight,,80,31
2016-12-04 07:00:00,4,,,6,7,Sunday,1480705857,Sunny,E,2016-12-04T07:00:00+0000,1480834800,3200,Sunny,fod_long_range_intraday,,87,Sunny,19,precip,2,Sunny,Morning,,77,32
2016-12-04 13:00:00,5,,,6,8,Sunday,1480705857,Sunny,E,2016-12-04T13:00:00+0000,1480856400,3200,Sunny,fod_long_range_intraday,,93,Sunny,20,rain,15,Sunny,Afternoon,,69,32
2016-12-04 19:00:00,2,,,8,9,Sunday,1480705857,P Cloudy,E,2016-12-04T19:00:00+0000,1480878000,2900,Partly Cloudy,fod_long_range_intraday,Cloudy,93,Partly,12,precip,28,Partly Cloudy,Evening,Scattered frost possible.,84,29
2016-12-05 01:00:00,2,,,9,10,Monday,1480705857,P Cloudy,E,2016-12-05T01:00:00+0000,1480899600,2900,Partly Cloudy,fod_long_range_intraday,Cloudy,92,Partly,8,precip,40,Partly Cloudy,Overnight,Scattered frost possible.,93,29
2016-12-05 07:00:00,4,,,9,11,Monday,1480705857,P Cloudy,ESE,2016-12-05T07:00:00+0000,1480921200,3000,Partly Cloudy,fod_long_range_intraday,Cloudy,107,Partly,9,precip,43,Partly Cloudy,Morning,,90,30
2016-12-05 13:00:00,7,,,14,12,Monday,1480705857,M Cloudy,ESE,2016-12-05T13:00:00+0000,1480942800,2800,Mostly Cloudy,fod_long_range_intraday,Cloudy,123,Mostly,10,rain,65,Mostly Cloudy,Afternoon,,85,28
2016-12-05 19:00:00,5,,,17,13,Monday,1480705857,M Cloudy,ESE,2016-12-05T19:00:00+0000,1480964400,2700,Mostly Cloudy,fod_long_range_intraday,Cloudy,121,Mostly,7,rain,76,Mostly Cloudy,Evening,,94,27
2016-12-06 01:00:00,5,,,24,14,Tuesday,1480705857,Cloudy,SE,2016-12-06T01:00:00+0000,1480986000,2600,Cloudy,fod_long_range_intraday,,135,Cloudy,6,rain,89,Cloudy,Overnight,,96,26
2016-12-06 07:00:00,7,,,24,15,Tuesday,1480705857,Cloudy,SE,2016-12-06T07:00:00+0000,1481007600,2600,Cloudy,fod_long_range_intraday,,135,Cloudy,6,rain,91,Cloudy,Morning,,98,26
2016-12-06 13:00:00,10,,,40,16,Tuesday,1480705857,Showers,SSE,2016-12-06T13:00:00+0000,1481029200,1100,Showers,fod_long_range_intraday,,161,Showers,7,rain,94,Showers,Afternoon,,91,11
2016-12-06 19:00:00,8,,,24,17,Tuesday,1480705857,Cloudy,SE,2016-12-06T19:00:00+0000,1481050800,2600,Cloudy,fod_long_range_intraday,,143,Cloudy,7,rain,94,Cloudy,Evening,,93,26
2016-12-07 01:00:00,9,,,18,18,Wednesday,1480705857,Cloudy,SSE,2016-12-07T01:00:00+0000,1481072400,2600,Cloudy,fod_long_range_intraday,,165,Cloudy,8,rain,96,Cloudy,Overnight,,94,26
2016-12-07 07:00:00,10,,,24,19,Wednesday,1480705857,Cloudy,S,2016-12-07T07:00:00+0000,1481094000,2600,Cloudy,fod_long_range_intraday,,187,Cloudy,15,rain,96,Cloudy,Morning,,93,26
2016-12-07 13:00:00,12,,,24,20,Wednesday,1480705857,Cloudy,S,2016-12-07T13:00:00+0000,1481115600,2600,Cloudy,fod_long_range_intraday,,191,Cloudy,16,rain,96,Cloudy,Afternoon,,87,26
2016-12-07 19:00:00,11,,,24,21,Wednesday,1480705857,Cloudy,SSW,2016-12-07T19:00:00+0000,1481137200,2600,Cloudy,fod_long_range_intraday,,197,Cloudy,15,rain,88,Cloudy,Evening,,91,26
2016-12-08 01:00:00,10,,,33,22,Thursday,1480705857,Few Showers,SSW,2016-12-08T01:00:00+0000,1481158800,4600,Few Showers,fod_long_range_intraday,Showers,210,Few,15,rain,91,Few Showers,Overnight,,94,11
2016-12-08 07:00:00,10,,,24,23,Thursday,1480705857,Cloudy,SSW,2016-12-08T07:00:00+0000,1481180400,2600,Cloudy,fod_long_range_intraday,,210,Cloudy,17,rain,95,Cloudy,Morning,,91,26
2016-12-08 13:00:00,11,,,14,24,Thursday,1480705857,Cloudy,SW,2016-12-08T13:00:00+0000,1481202000,2600,Cloudy,fod_long_range_intraday,,216,Cloudy,17,rain,94,Cloudy,Afternoon,,86,26
2016-12-08 19:00:00,10,,,17,25,Thursday,1480705857,Cloudy,SW,2016-12-08T19:00:00+0000,1481223600,2600,Cloudy,fod_long_range_intraday,,218,Cloudy,11,rain,91,Cloudy,Evening,,90,26
2016-12-09 01:00:00,10,,,17,26,Friday,1480705857,Cloudy,SSW,2016-12-09T01:00:00+0000,1481245200,2600,Cloudy,fod_long_range_intraday,,211,Cloudy,14,rain,93,Cloudy,Overnight,,91,26
2016-12-09 07:00:00,10,,,16,27,Friday,1480705857,Cloudy,SSW,2016-12-09T07:00:00+0000,1481266800,2600,Cloudy,fod_long_range_intraday,,212,Cloudy,21,rain,96,Cloudy,Morning,,92,26
2016-12-09 13:00:00,12,,,56,28,Friday,1480705857,Showers,SW,2016-12-09T13:00:00+0000,1481288400,1100,Showers,fod_long_range_intraday,,214,Showers,22,rain,95,Showers,Afternoon,,86,11
2016-12-09 19:00:00,11,,,56,29,Friday,1480705857,Showers,SW,2016-12-09T19:00:00+0000,1481310000,1100,Showers,fod_long_range_intraday,,221,Showers,18,rain,89,Showers,Evening,,93,11
2016-12-10 01:00:00,10,,,31,30,Saturday,1480705857,Few Showers,SW,2016-12-10T01:00:00+0000,1481331600,4600,Few Showers,fod_long_range_intraday,Showers,226,Few,17,rain,78,Few Showers,Overnight,,91,11
2016-12-10 07:00:00,10,,,21,31,Saturday,1480705857,M Cloudy,WSW,2016-12-10T07:00:00+0000,1481353200,2800,Mostly Cloudy,fod_long_range_intraday,Cloudy,239,Mostly,22,rain,73,Mostly Cloudy,Morning,,90,28
2016-12-10 13:00:00,12,,,24,32,Saturday,1480705857,M Cloudy,SW,2016-12-10T13:00:00+0000,1481374800,2800,Mostly Cloudy,fod_long_range_intraday,Cloudy,230,Mostly,24,rain,62,Mostly Cloudy,Afternoon,,82,28
2016-12-10 19:00:00,11,,,33,33,Saturday,1480705857,Few Showers,SW,2016-12-10T19:00:00+0000,1481396400,4600,Few Showers,fod_long_range_intraday,Showers,224,Few,19,rain,79,Few Showers,Evening,,87,11
2016-12-11 01:00:00,10,,,60,34,Sunday,1480705857,Rain,SW,2016-12-11T01:00:00+0000,1481418000,1200,Rain,fod_long_range_intraday,,219,Rain,22,rain,91,Rain,Overnight,,87,12
2016-12-11 07:00:00,10,,,60,35,Sunday,1480705857,Light Rain,SW,2016-12-11T07:00:00+0000,1481439600,1201,Light Rain,fod_long_range_intraday,Rain,228,Light,31,rain,85,Light Rain,Morning,,83,11
2016-12-11 13:00:00,11,,Windy,34,36,Sunday,1480705857,Showers/Wind,SW,2016-12-11T13:00:00+0000,1481461200,4610,Few Showers/Wind,fod_long_range_intraday,Showers,232,Few,33,rain,77,Few Showers/Wind,Afternoon,,73,11
2016-12-11 19:00:00,9,,,39,37,Sunday,1480705857,Few Showers,WSW,2016-12-11T19:00:00+0000,1481482800,4600,Few Showers,fod_long_range_intraday,Showers,242,Few,27,rain,73,Few Showers,Evening,,76,11
2016-12-12 01:00:00,8,,,40,38,Monday,1480705857,Showers,WSW,2016-12-12T01:00:00+0000,1481504400,1100,Showers,fod_long_range_intraday,,239,Showers,21,rain,61,Showers,Overnight,,83,11
2016-12-12 07:00:00,8,,,48,39,Monday,1480705857,Showers,WSW,2016-12-12T07:00:00+0000,1481526000,1100,Showers,fod_long_range_intraday,,244,Showers,24,rain,62,Showers,Morning,,83,11
2016-12-12 13:00:00,9,,,40,40,Monday,1480705857,Showers,WSW,2016-12-12T13:00:00+0000,1481547600,1100,Showers,fod_long_range_intraday,,241,Showers,24,rain,63,Showers,Afternoon,,77,11
2016-12-12 19:00:00,8,,,40,41,Monday,1480705857,Showers,WSW,2016-12-12T19:00:00+0000,1481569200,1100,Showers,fod_long_range_intraday,,242,Showers,20,rain,55,Showers,Evening,,85,11
